Type,Log Entry
Movie,"2024-03-08T23:06:09,239711,GET /data/m/the+shawshank+redemption+1994/33.mpg"
Movie,"2024-03-08T23:06:09,654540,GET /data/m/spirited+away+2001/66.mpg"
Movie,"2024-03-08T23:06:09,548385,GET /data/m/dear+zachary+a+letter+to+a+son+about+his+father+2008/6.mpg"
Movie,"2024-03-08T23:06:09,631412,GET /data/m/spirited+away+2001/4.mpg"
Movie,"2024-03-08T23:06:09,296282,GET /data/m/one+flew+over+the+cuckoos+nest+1975/88.mpg"
Movie,"2024-03-08T23:06:09,499135,GET /data/m/master+and+commander+the+far+side+of+the+world+2003/37.mpg"
Movie,"2024-03-08T23:06:09,23707,GET /data/m/one+flew+over+the+cuckoos+nest+1975/89.mpg"
Movie,"2024-03-08T23:06:09,209199,GET /data/m/the+constant+nymph+1943/24.mpg"
Movie,"2024-03-08T23:06:09,349585,GET /data/m/dilwale+dulhania+le+jayenge+1995/38.mpg"
Movie,"2024-03-08T23:06:09,46773,GET /data/m/batman+gotham+knight+2008/11.mpg"
Movie,"2024-03-08T23:06:09,357108,GET /data/m/national+lampoons+christmas+vacation+1989/39.mpg"
Movie,"2024-03-08T23:06:09,366589,GET /data/m/dilwale+dulhania+le+jayenge+1995/89.mpg"
Movie,"2024-03-08T23:06:09,480881,GET /data/m/dear+zachary+a+letter+to+a+son+about+his+father+2008/94.mpg"
Movie,"2024-03-08T23:06:09,409285,GET /data/m/the+godfather+1972/162.mpg"
Movie,"2024-03-08T23:06:09,660181,GET /data/m/one+flew+over+the+cuckoos+nest+1975/45.mpg"
Movie,"2024-03-08T23:06:09,387745,GET /data/m/the+shawshank+redemption+1994/136.mpg"
Movie,"2024-03-08T23:06:09,35183,GET /data/m/once+upon+a+time+in+america+1984/117.mpg"
Movie,"2024-03-08T23:06:09,406829,GET /data/m/career+opportunities+1991/11.mpg"
Movie,"2024-03-08T23:06:09,245742,GET /data/m/snake++mongoose+2013/86.mpg"
Movie,"2024-03-08T23:06:09,439293,GET /data/m/forrest+gump+1994/118.mpg"
Movie,"2024-03-08T23:06:09,120517,GET /data/m/crooks+in+clover+1963/99.mpg"
Movie,"2024-03-08T23:06:09,103645,GET /data/m/the+godfather+1972/25.mpg"
Movie,"2024-03-08T23:06:09,250564,GET /data/m/world+on+a+wire+1973/60.mpg"
Movie,"2024-03-08T23:06:09,62563,GET /data/m/the+shawshank+redemption+1994/74.mpg"
Movie,"2024-03-08T23:06:09,205950,GET /data/m/life+is+beautiful+1997/41.mpg"
Movie,"2024-03-08T23:06:09,91145,GET /data/m/dear+zachary+a+letter+to+a+son+about+his+father+2008/14.mpg"
Movie,"2024-03-08T23:06:09,403562,GET /data/m/how+to+train+your+dragon+2+2014/36.mpg"
Movie,"2024-03-08T23:06:09,167877,GET /data/m/the+purple+plain+1954/50.mpg"
Movie,"2024-03-08T23:06:09,660956,GET /data/m/the+godfather+1972/65.mpg"
Movie,"2024-03-08T23:06:09,378069,GET /data/m/the+shawshank+redemption+1994/107.mpg"
Movie,"2024-03-08T23:06:09,48123,GET /data/m/terraferma+2011/24.mpg"
Movie,"2024-03-08T23:06:09,42196,GET /data/m/the+godfather+1972/30.mpg"
Recommendation,"2024-03-08T23:06:09.142093,665685,recommendation request 17645-team19.isri.cmu.edu:8082, status 200, result: dilwale+dulhania+le+jayenge+1995, the+godfather+1972, the+shawshank+redemption+1994, dear+zachary+a+letter+to+a+son+about+his+father+2008, one+flew+over+the+cuckoos+nest+1975, spirited+away+2001, life+is+beautiful+1997, psycho+1960, once+upon+a+time+in+america+1984, the+godfather+part+ii+1974, pulp+fiction+1994, fight+club+1999, whiplash+2014, schindlers+list+1993, the+dark+knight+2008, forrest+gump+1994, cinema+paradiso+1988, the+intouchables+2011, rear+window+1954, city+lights+1931, 44 ms"
Recommendation,"2024-03-08T23:06:09.190488,149301,recommendation request 17645-team19.isri.cmu.edu:8082, status 200, result: dilwale+dulhania+le+jayenge+1995, the+godfather+1972, the+shawshank+redemption+1994, dear+zachary+a+letter+to+a+son+about+his+father+2008, one+flew+over+the+cuckoos+nest+1975, spirited+away+2001, life+is+beautiful+1997, psycho+1960, once+upon+a+time+in+america+1984, the+godfather+part+ii+1974, pulp+fiction+1994, fight+club+1999, whiplash+2014, schindlers+list+1993, the+dark+knight+2008, forrest+gump+1994, cinema+paradiso+1988, the+intouchables+2011, rear+window+1954, city+lights+1931, 89 ms"
Recommendation,"2024-03-08T23:06:09.202266,23659,recommendation request 17645-team19.isri.cmu.edu:8082, status 200, result: dilwale+dulhania+le+jayenge+1995, the+godfather+1972, the+shawshank+redemption+1994, dear+zachary+a+letter+to+a+son+about+his+father+2008, one+flew+over+the+cuckoos+nest+1975, spirited+away+2001, life+is+beautiful+1997, psycho+1960, once+upon+a+time+in+america+1984, the+godfather+part+ii+1974, pulp+fiction+1994, fight+club+1999, whiplash+2014, schindlers+list+1993, the+dark+knight+2008, forrest+gump+1994, cinema+paradiso+1988, the+intouchables+2011, rear+window+1954, city+lights+1931, 102 ms"
Recommendation,"2024-03-08T23:06:09.246029,629926,recommendation request 17645-team19.isri.cmu.edu:8082, status 200, result: dilwale+dulhania+le+jayenge+1995, the+godfather+1972, the+shawshank+redemption+1994, dear+zachary+a+letter+to+a+son+about+his+father+2008, one+flew+over+the+cuckoos+nest+1975, spirited+away+2001, life+is+beautiful+1997, psycho+1960, once+upon+a+time+in+america+1984, the+godfather+part+ii+1974, pulp+fiction+1994, fight+club+1999, whiplash+2014, schindlers+list+1993, the+dark+knight+2008, forrest+gump+1994, cinema+paradiso+1988, the+intouchables+2011, rear+window+1954, city+lights+1931, 147 ms"
Recommendation,"2024-03-08T23:06:09.287847,97254,recommendation request 17645-team19.isri.cmu.edu:8082, status 200, result: dilwale+dulhania+le+jayenge+1995, the+godfather+1972, the+shawshank+redemption+1994, dear+zachary+a+letter+to+a+son+about+his+father+2008, one+flew+over+the+cuckoos+nest+1975, spirited+away+2001, life+is+beautiful+1997, psycho+1960, once+upon+a+time+in+america+1984, the+godfather+part+ii+1974, pulp+fiction+1994, fight+club+1999, whiplash+2014, schindlers+list+1993, the+dark+knight+2008, forrest+gump+1994, cinema+paradiso+1988, the+intouchables+2011, rear+window+1954, city+lights+1931, 184 ms"
Recommendation,"2024-03-08T23:06:09.308336,490440,recommendation request 17645-team19.isri.cmu.edu:8082, status 200, result: dilwale+dulhania+le+jayenge+1995, the+godfather+1972, the+shawshank+redemption+1994, dear+zachary+a+letter+to+a+son+about+his+father+2008, one+flew+over+the+cuckoos+nest+1975, spirited+away+2001, life+is+beautiful+1997, psycho+1960, once+upon+a+time+in+america+1984, the+godfather+part+ii+1974, pulp+fiction+1994, fight+club+1999, whiplash+2014, schindlers+list+1993, the+dark+knight+2008, forrest+gump+1994, cinema+paradiso+1988, the+intouchables+2011, rear+window+1954, city+lights+1931, 206 ms"
Movie,"2024-03-08T23:06:10,368006,GET /data/m/cruel+gun+story+1964/88.mpg"
Movie,"2024-03-08T23:06:10,221360,GET /data/m/the+godfather+part+ii+1974/32.mpg"
Movie,"2024-03-08T23:06:10,201719,GET /data/m/the+importance+of+being+earnest+2002/3.mpg"
Movie,"2024-03-08T23:06:10,317929,GET /data/m/dear+zachary+a+letter+to+a+son+about+his+father+2008/6.mpg"
Movie,"2024-03-08T23:06:10,575554,GET /data/m/the+shawshank+redemption+1994/115.mpg"
Movie,"2024-03-08T23:06:10,141353,GET /data/m/the+godfather+1972/9.mpg"
Movie,"2024-03-08T23:06:10,377525,GET /data/m/life+is+beautiful+1997/61.mpg"
Movie,"2024-03-08T23:06:10,233500,GET /data/m/life+is+beautiful+1997/26.mpg"
Movie,"2024-03-08T23:06:10,332203,GET /data/m/one+flew+over+the+cuckoos+nest+1975/24.mpg"
Movie,"2024-03-08T23:06:10,513869,GET /data/m/the+shawshank+redemption+1994/18.mpg"
Movie,"2024-03-08T23:06:10,91343,GET /data/m/last+stop+174+2008/79.mpg"
Movie,"2024-03-08T23:06:10,257198,GET /data/m/the+invisible+war+2012/34.mpg"
Movie,"2024-03-08T23:06:10,342395,GET /data/m/dilwale+dulhania+le+jayenge+1995/27.mpg"
Movie,"2024-03-08T23:06:10,502411,GET /data/m/the+godfather+1972/166.mpg"
Movie,"2024-03-08T23:06:10,517148,GET /data/m/once+upon+a+time+in+america+1984/108.mpg"
Movie,"2024-03-08T23:06:10,384379,GET /data/m/dumbo+1941/58.mpg"
Movie,"2024-03-08T23:06:10,3906,GET /data/m/back+to+the+future+1985/60.mpg"
Movie,"2024-03-08T23:06:10,64877,GET /data/m/ponyo+2008/79.mpg"
Movie,"2024-03-08T23:06:10,151972,GET /data/m/the+shawshank+redemption+1994/53.mpg"
Movie,"2024-03-08T23:06:10,520918,GET /data/m/one+flew+over+the+cuckoos+nest+1975/132.mpg"
Movie,"2024-03-08T23:06:10,141794,GET /data/m/dilwale+dulhania+le+jayenge+1995/64.mpg"
Movie,"2024-03-08T23:06:10,250999,GET /data/m/the+shawshank+redemption+1994/71.mpg"
Movie,"2024-03-08T23:06:10,414663,GET /data/m/the+shawshank+redemption+1994/74.mpg"
Movie,"2024-03-08T23:06:10,305759,GET /data/m/the+godfather+1972/175.mpg"
Movie,"2024-03-08T23:06:10,494773,GET /data/m/open+your+eyes+1997/104.mpg"
Movie,"2024-03-08T23:06:10,373949,GET /data/m/dilwale+dulhania+le+jayenge+1995/118.mpg"
Movie,"2024-03-08T23:06:10,27724,GET /data/m/dilwale+dulhania+le+jayenge+1995/161.mpg"
Movie,"2024-03-08T23:06:10,306940,GET /data/m/oh+what+a+lovely+war+1969/31.mpg"
Movie,"2024-03-08T23:06:10,332008,GET /data/m/the+shawshank+redemption+1994/137.mpg"
Movie,"2024-03-08T23:06:10,479956,GET /data/m/dear+zachary+a+letter+to+a+son+about+his+father+2008/36.mpg"
Movie,"2024-03-08T23:06:10,17733,GET /data/m/fuel+2009/91.mpg"
Movie,"2024-03-08T23:06:10,25744,GET /data/m/regeneration+1915/37.mpg"
Movie,"2024-03-08T23:06:10,250072,GET /data/m/dilwale+dulhania+le+jayenge+1995/127.mpg"
Movie,"2024-03-08T23:06:10,547608,GET /data/m/the+godfather+1972/67.mpg"
Movie,"2024-03-08T23:06:10,596059,GET /data/m/dilwale+dulhania+le+jayenge+1995/89.mpg"
Movie,"2024-03-08T23:06:10,9547,GET /data/m/the+shawshank+redemption+1994/21.mpg"
Movie,"2024-03-08T23:06:10,518898,GET /data/m/the+firm+1993/140.mpg"
Movie,"2024-03-08T23:06:10,23052,GET /data/m/the+shawshank+redemption+1994/55.mpg"
Movie,"2024-03-08T23:06:10,112594,GET /data/m/kaboom+2010/73.mpg"
Movie,"2024-03-08T23:06:10,622733,GET /data/m/pirates+of+the+caribbean+the+curse+of+the+black+pearl+2003/103.mpg"
Movie,"2024-03-08T23:06:10,304096,GET /data/m/jazz+2001/865.mpg"
Movie,"2024-03-08T23:06:10,278746,GET /data/m/the+godfather+1972/120.mpg"
Movie,"2024-03-08T23:06:10,459006,GET /data/m/dilwale+dulhania+le+jayenge+1995/114.mpg"
Movie,"2024-03-08T23:06:10,168915,GET /data/m/harry+potter+and+the+half-blood+prince+2009/49.mpg"
Movie,"2024-03-08T23:06:10,164342,GET /data/m/dolphin+tale+2+2014/7.mpg"
Movie,"2024-03-08T23:06:10,334845,GET /data/m/the+godfather+1972/80.mpg"
Movie,"2024-03-08T23:06:10,548778,GET /data/m/the+godfather+1972/41.mpg"
Movie,"2024-03-08T23:06:10,595571,GET /data/m/explorers+1985/99.mpg"
Movie,"2024-03-08T23:06:10,374552,GET /data/m/dilwale+dulhania+le+jayenge+1995/93.mpg"
Movie,"2024-03-08T23:06:10,577294,GET /data/m/prisoners+2013/17.mpg"
Movie,"2024-03-08T23:06:10,350221,GET /data/m/american+mary+2012/15.mpg"
Movie,"2024-03-08T23:06:10,285259,GET /data/m/one+flew+over+the+cuckoos+nest+1975/38.mpg"
Movie,"2024-03-08T23:06:10,421772,GET /data/m/mary+poppins+1964/122.mpg"
Movie,"2024-03-08T23:06:10,201048,GET /data/m/dilwale+dulhania+le+jayenge+1995/139.mpg"
Movie,"2024-03-08T23:06:10,117387,GET /data/m/the+raid+2+2014/29.mpg"
Movie,"2024-03-08T23:06:10,59216,GET /data/m/troy+2004/140.mpg"
Movie,"2024-03-08T23:06:10,543242,GET /data/m/the+godfather+1972/25.mpg"
Movie,"2024-03-08T23:06:10,599076,GET /data/m/dilwale+dulhania+le+jayenge+1995/56.mpg"
Movie,"2024-03-08T23:06:10,403441,GET /data/m/big+hero+6+2014/52.mpg"
Movie,"2024-03-08T23:06:10,200541,GET /data/m/the+lord+of+the+rings+the+return+of+the+king+2003/190.mpg"
Movie,"2024-03-08T23:06:10,398691,GET /data/m/the+godfather+1972/175.mpg"
Movie,"2024-03-08T23:06:10,255110,GET /data/m/spirited+away+2001/13.mpg"
Movie,"2024-03-08T23:06:10,607942,GET /data/m/the+godfather+1972/38.mpg"
Movie,"2024-03-08T23:06:10,334512,GET /data/m/johns+1996/77.mpg"
Movie,"2024-03-08T23:06:10,180384,GET /data/m/thunderball+1965/90.mpg"
Movie,"2024-03-08T23:06:10,472926,GET /data/m/the+shawshank+redemption+1994/48.mpg"
Movie,"2024-03-08T23:06:10,434956,GET /data/m/notorious+1946/65.mpg"
Movie,"2024-03-08T23:06:10,175855,GET /data/m/the+godfather+1972/155.mpg"
Movie,"2024-03-08T23:06:10,102091,GET /data/m/the+godfather+part+ii+1974/21.mpg"
Movie,"2024-03-08T23:06:10,360713,GET /data/m/the+shawshank+redemption+1994/13.mpg"
Movie,"2024-03-08T23:06:10,125392,GET /data/m/the+godfather+1972/157.mpg"
Movie,"2024-03-08T23:06:10,544732,GET /data/m/the+godfather+1972/86.mpg"
Movie,"2024-03-08T23:06:10,480682,GET /data/m/dear+zachary+a+letter+to+a+son+about+his+father+2008/30.mpg"
Movie,"2024-03-08T23:06:10,396076,GET /data/m/down+and+out+in+beverly+hills+1986/70.mpg"
Movie,"2024-03-08T23:06:10,205652,GET /data/m/10+things+i+hate+about+you+1999/29.mpg"
Movie,"2024-03-08T23:06:10,83058,GET /data/m/one+flew+over+the+cuckoos+nest+1975/86.mpg"
Movie,"2024-03-08T23:06:10,467701,GET /data/m/dilwale+dulhania+le+jayenge+1995/48.mpg"
Movie,"2024-03-08T23:06:10,23984,GET /data/m/gentleman+jim+1942/42.mpg"
Movie,"2024-03-08T23:06:10,572670,GET /data/m/the+godfather+1972/22.mpg"
Movie,"2024-03-08T23:06:10,214988,GET /data/m/the+godfather+1972/77.mpg"
Movie,"2024-03-08T23:06:10,80866,GET /data/m/the+shawshank+redemption+1994/97.mpg"
Movie,"2024-03-08T23:06:10,132162,GET /data/m/all+the+presidents+men+1976/75.mpg"
Movie,"2024-03-08T23:06:10,620660,GET /data/m/dilwale+dulhania+le+jayenge+1995/86.mpg"
Movie,"2024-03-08T23:06:10,430496,GET /data/m/dear+zachary+a+letter+to+a+son+about+his+father+2008/92.mpg"
Movie,"2024-03-08T23:06:10,143607,GET /data/m/dear+zachary+a+letter+to+a+son+about+his+father+2008/83.mpg"
Movie,"2024-03-08T23:06:10,474348,GET /data/m/everlasting+moments+2008/122.mpg"
Movie,"2024-03-08T23:06:10,516494,GET /data/m/laws+of+gravity+1992/37.mpg"
Movie,"2024-03-08T23:06:10,100536,GET /data/m/galaxy+quest+1999/53.mpg"
Movie,"2024-03-08T23:06:10,618280,GET /data/m/pusher+iii+im+the+angel+of+death+2005/35.mpg"
Movie,"2024-03-08T23:06:10,407898,GET /data/m/the+shawshank+redemption+1994/120.mpg"
Movie,"2024-03-08T23:06:10,80518,GET /data/m/like+father_+like+son+2013/112.mpg"
Movie,"2024-03-08T23:06:10,16979,GET /data/m/the+shawshank+redemption+1994/45.mpg"
Movie,"2024-03-08T23:06:10,16301,GET /data/m/one+flew+over+the+cuckoos+nest+1975/61.mpg"
Movie,"2024-03-08T23:06:10,97219,GET /data/m/the+godfather+1972/70.mpg"
Movie,"2024-03-08T23:06:10,526552,GET /data/m/saving+private+ryan+1998/170.mpg"
Movie,"2024-03-08T23:06:10,289874,GET /data/m/the+godfather+1972/24.mpg"
Movie,"2024-03-08T23:06:10,353977,GET /data/m/the+shawshank+redemption+1994/122.mpg"
Movie,"2024-03-08T23:06:10,281744,GET /data/m/life+is+beautiful+1997/46.mpg"
Movie,"2024-03-08T23:06:10,412338,GET /data/m/the+godfather+1972/160.mpg"
Movie,"2024-03-08T23:06:10,50377,GET /data/m/the+lord+of+the+rings+the+return+of+the+king+2003/179.mpg"
Movie,"2024-03-08T23:06:10,433369,GET /data/m/the+atomic+cafe+1982/81.mpg"
Movie,"2024-03-08T23:06:10,342768,GET /data/m/a+snake+of+june+2002/77.mpg"
Movie,"2024-03-08T23:06:10,31643,GET /data/m/the+terminator+1984/104.mpg"
Movie,"2024-03-08T23:06:10,506421,GET /data/m/dear+zachary+a+letter+to+a+son+about+his+father+2008/44.mpg"
Movie,"2024-03-08T23:06:10,539142,GET /data/m/the+godfather+1972/130.mpg"
Movie,"2024-03-08T23:06:10,84235,GET /data/m/the+shawshank+redemption+1994/95.mpg"
Movie,"2024-03-08T23:06:10,414890,GET /data/m/dawn+of+the+dead+1978/40.mpg"
Movie,"2024-03-08T23:06:10,156032,GET /data/m/the+godfather+1972/163.mpg"
Movie,"2024-03-08T23:06:10,656518,GET /data/m/dilwale+dulhania+le+jayenge+1995/144.mpg"
Movie,"2024-03-08T23:06:10,45154,GET /data/m/fight+club+1999/42.mpg"
Movie,"2024-03-08T23:06:10,100358,GET /data/m/water+for+elephants+2011/70.mpg"
Movie,"2024-03-08T23:06:10,96497,GET /data/m/dear+zachary+a+letter+to+a+son+about+his+father+2008/91.mpg"
Movie,"2024-03-08T23:06:10,396134,GET /data/m/the+shawshank+redemption+1994/10.mpg"
Movie,"2024-03-08T23:06:10,496253,GET /data/m/dear+zachary+a+letter+to+a+son+about+his+father+2008/31.mpg"
Movie,"2024-03-08T23:06:10,293251,GET /data/m/the+shawshank+redemption+1994/107.mpg"
Movie,"2024-03-08T23:06:10,250266,GET /data/m/robots+2005/75.mpg"
Movie,"2024-03-08T23:06:10,451469,GET /data/m/the+shawshank+redemption+1994/137.mpg"
Movie,"2024-03-08T23:06:10,354904,GET /data/m/pulp+fiction+1994/148.mpg"
Movie,"2024-03-08T23:06:10,579585,GET /data/m/the+godfather+1972/116.mpg"
Movie,"2024-03-08T23:06:10,327919,GET /data/m/dilwale+dulhania+le+jayenge+1995/179.mpg"
Movie,"2024-03-08T23:06:10,386463,GET /data/m/the+godfather+1972/56.mpg"
Movie,"2024-03-08T23:06:10,224276,GET /data/m/the+godfather+1972/110.mpg"
Movie,"2024-03-08T23:06:10,497740,GET /data/m/the+shawshank+redemption+1994/26.mpg"
Rating,"2024-03-08T23:06:10,245847,GET /rate/suicide+room+2011=5"
Movie,"2024-03-08T23:06:10,235467,GET /data/m/the+godfather+1972/23.mpg"
Movie,"2024-03-08T23:06:10,104462,GET /data/m/spirited+away+2001/14.mpg"
Movie,"2024-03-08T23:06:10,242616,GET /data/m/mister+lonely+2008/42.mpg"
Movie,"2024-03-08T23:06:10,432288,GET /data/m/the+godfather+1972/45.mpg"
Movie,"2024-03-08T23:06:10,663845,GET /data/m/dilwale+dulhania+le+jayenge+1995/84.mpg"
Movie,"2024-03-08T23:06:10,465076,GET /data/m/gladiator+2000/22.mpg"
Movie,"2024-03-08T23:06:10,20506,GET /data/m/one+flew+over+the+cuckoos+nest+1975/127.mpg"
Movie,"2024-03-08T23:06:10,48415,GET /data/m/dilwale+dulhania+le+jayenge+1995/43.mpg"
Movie,"2024-03-08T23:06:10,207549,GET /data/m/dear+zachary+a+letter+to+a+son+about+his+father+2008/31.mpg"
Movie,"2024-03-08T23:06:10,17268,GET /data/m/sinister+2012/3.mpg"
Movie,"2024-03-08T23:06:10,269526,GET /data/m/dilwale+dulhania+le+jayenge+1995/142.mpg"
Movie,"2024-03-08T23:06:10,93871,GET /data/m/the+godfather+1972/70.mpg"
Movie,"2024-03-08T23:06:10,422701,GET /data/m/the+godfather+1972/20.mpg"
Movie,"2024-03-08T23:06:10,320039,GET /data/m/the+shawshank+redemption+1994/44.mpg"
Movie,"2024-03-08T23:06:10,629266,GET /data/m/the+godfather+1972/150.mpg"
Movie,"2024-03-08T23:06:10,513902,GET /data/m/the+shawshank+redemption+1994/81.mpg"
Movie,"2024-03-08T23:06:10,214224,GET /data/m/the+shawshank+redemption+1994/46.mpg"
Movie,"2024-03-08T23:06:10,433753,GET /data/m/the+shawshank+redemption+1994/39.mpg"
Movie,"2024-03-08T23:06:10,345241,GET /data/m/the+godfather+1972/79.mpg"
Movie,"2024-03-08T23:06:10,230680,GET /data/m/dilwale+dulhania+le+jayenge+1995/81.mpg"
Movie,"2024-03-08T23:06:10,249601,GET /data/m/lupin+the+third+the+castle+of+cagliostro+1979/84.mpg"
Movie,"2024-03-08T23:06:10,465261,GET /data/m/psycho+1960/75.mpg"
Movie,"2024-03-08T23:06:10,602315,GET /data/m/the+godfather+1972/45.mpg"
Movie,"2024-03-08T23:06:10,217400,GET /data/m/the+matrix+1999/105.mpg"
Movie,"2024-03-08T23:06:10,423855,GET /data/m/the+godfather+1972/143.mpg"
Movie,"2024-03-08T23:06:10,366657,GET /data/m/the+shawshank+redemption+1994/54.mpg"
Movie,"2024-03-08T23:06:10,643998,GET /data/m/dilwale+dulhania+le+jayenge+1995/146.mpg"
Movie,"2024-03-08T23:06:10,322864,GET /data/m/the+godfather+1972/171.mpg"
